nodeName	Clusteringcoeff
A0A024QYV7	0.0
EWSR1	0.007668123610152596
DDX39B	0.05698005698005698
CDC37	0.01860951860951861
ELF5	0.0
E2F8	0.05194805194805195
B0S7P4	0.0
B1AL64	0.0
B7Z8L6	0.004301075268817204
F5GWE6	0.047619047619047616
F5H357	0.05230496453900709
J3KPV8	0.0
MYO1F	0.0
DFFA	0.0
TULP2	0.0
WWP2	0.030729359496482783
PDHX	0.0
HMGN4	0.16666666666666666
TMSB4Y	0.0
POLR3A	0.13438735177865613
PLSCR1	0.04924384451943507
HDAC3	0.0
BNIP3L	0.0291005291005291
HBP1	0.006535947712418301
TSPAN3	0.0
MSC	0.13333333333333333
NDUFB1	0.32142857142857145
WFS1	0.0063507750873917895
SEC24D	0.14285714285714285
TRIM37	0.02857142857142857
PGLS	0.16176470588235295
SEC24A	0.08888888888888889
ECD	0.0
ACTL6A	0.13333333333333333
AGT	0.023809523809523808
CEACAM5	0.0
CETP	0.0
NPPB	0.09090909090909091
HMGA1	0.07692307692307693
ITGB5	0.0735632183908046
KEL	0.0
ELAVL4	0.00995732574679943
ERCC5	0.0
FUS	0.021337126600284494
MATK	0.07692307692307693
HTT	0.006582676992002818
SLC1A1	0.15151515151515152
MAGEA11	0.009315323707498836
GNPDA1	0.3333333333333333
RFX3	0.09090909090909091
PRRC2A	0.037037037037037035
FASN	0.19047619047619047
NDUFV1	0.030107526881720432
ZNF165	0.15476190476190477
ANXA11	0.05714285714285714
FXR2	0.028483732351135667
ATXN3	0.014294134983790157
ATN1	0.01899587046294284
HSPA2	0.0193158953722334
RAD23A	0.04794520547945205
CMC4	0.0
MTCP1	0.0
MYL6	0.022222222222222223
RPS15A	0.09090909090909091
RPL31	0.015151515151515152
SUPT4H1	0.0
CXADR	0.0
SSBP2	0.0
MVK	0.0
EP300	0.016391184573002756
BRME1	0.07254623044096728
TRAF2	0.02031927815373937
TRAF1	0.02290377780702909
TRAF3	0.052564102564102565
SMAD4	0.0201216141514649
Q13587	0.0
KRR1	0.0
HLTF	0.03571428571428571
ELAVL3	0.6190476190476191
IRF3	0.05847953216374269
HERPUD1	0.022222222222222223
SUZ12	0.4166666666666667
NONO	0.042105263157894736
PCBP1	0.05668016194331984
SF3B4	0.03973063973063973
SMAD1	0.02140748031496063
VPS72	0.06666666666666667
EZH2	0.026360544217687076
KCNMB1	0.0
CPSF6	0.025974025974025976
Q53EW4	0.0
Q53FP9	0.0
Q5JUJ3	0.0
Q5TZS4	0.0
