nodeName	Pagerank
16-5-5	2.025108572404933e-05
CDC42	0.0008270859468447756
PARD3	0.0002577158814392182
PARD3B	4.2745869368606806e-05
ABL1	0.0003460096109726198
ABLIM1	3.369205609619817e-05
ABLIM2	3.369205609619817e-05
ABLIM3	3.8805440702460465e-05
ACTA1	0.00015471648002094015
ACTA2	0.0002002130665585523
ACTB	0.0008125907056395116
ACTBL2	0.0002539714326538311
ACTC1	0.00017644610932266406
ACTG1	0.0006302302676584802
ACTG2	0.00017717121884423698
ACTR2	0.0003937413325722208
ACTR3	0.00031547658895685375
AGRN	0.00018497168452604438
AHCTF1	0.00013812549726209468
APC	0.0002505924532453003
ARAP1	3.403218465770581e-05
AREG	0.00026543836326432314
ARHGAP1	4.2432769563993086e-05
ARHGAP17	2.7447879234325845e-05
ARHGAP20	1.875034781275048e-05
ARHGAP22	1.6381788540865987e-05
ARHGAP35	7.38905478868775e-05
ARHGAP39	2.1282462019193368e-05
ARHGAP40	1.6844156153811558e-05
ARHGAP45	1.875034781275048e-05
ARHGDIA	7.578784008874168e-05
ARHGDIB	4.110747164595998e-05
ARHGDIG	3.408400555708803e-05
ARHGEF1	5.425915510172729e-05
ARHGEF11	6.512339444548693e-05
ARHGEF15	2.022755988518783e-05
ARHGEF19	2.3858371251288833e-05
ARHGEF25	3.143444206479425e-05
ARHGEF4	3.2973355577822026e-05
ARHGEF6	0.00010549793222585762
ARHGEF7	0.00014411104776964627
ARHGEF9	4.8267274375677605e-05
ARPC1A	0.0003186121022994092
ARPC1B	0.00018683143348315526
ARPC2	0.00031817747418058743
ARPC3	0.00031817747418058743
ARPC4	0.0003130071394250714
ARPC5	0.00032090087815178533
AURKB	0.00031319775860163976
B9D2	0.0002303134331695581
BAIAP2	7.816501845723548e-05
BCAR1	0.0002691908132376175
BCAR3	3.4966249957717946e-05
BDNF	0.0001858558497736624
BIRC5	0.00028222523189499614
BNIP2	3.912052431745316e-05
BOC	7.604775265611476e-05
BTC	0.00018500843448426556
BUB1	0.00019849285185650781
BUB1B	0.00022233643894238134
BUB3	0.0002411625556948945
CALM3	0.0005965724314606799
CAPZB	0.00025674030510420106
CAV1	0.00030622020697273437
CBL	0.0003981191551214286
CD28	0.00010730892159372517
CD44	0.00018051298353680123
CD80	9.516665268610982e-05
CD86	9.549418812466802e-05
CDC20	0.00026120227483274146
CDC42BPA	2.5921323813413032e-05
CDC42BPB	2.867040233164745e-05
CDC42BPG	2.4456447499948197e-05
CDC42EP1	1.701626585027005e-05
CDC42EP2	2.406217127657362e-05
CDC42EP3	3.0749678613595554e-05
CDC42EP4	1.658069610735252e-05
CDC42EP5	2.195707205114816e-05
CDCA8	0.0001743459218196678
CDH1	0.0003947855060456985
CDH15	0.00014595813144517868
CDH2	0.0001158206972325806
CDK4	0.0005777452300935715
CDON	7.767223245063482e-05
CENPA	0.00016951804221103405
CENPC	0.000156139667371546
CENPE	0.0002112149676738511
CENPF	0.0001299136463025827
CENPH	0.00014842088166741612
CENPI	0.00014842088166741612
CENPK	0.00014842088166741612
CENPL	0.00014842088166741612
CENPM	0.00014842088166741612
CENPN	0.00014842088166741612
CENPO	0.00014842088166741612
CENPP	0.00014842088166741612
CENPQ	0.00014842088166741612
CENPS	0.00020819307065659932
CENPT	0.00014842088166741612
CENPU	0.00014842088166741612
CKAP5	0.0002612318161239883
CLASP1	0.00025848405810488957
CLASP2	0.00015212744316905384
CLIP1	0.0001724551018689457
CSNK1A1	0.00023275073292565134
CTNNA1	0.00041965219751897965
CTNNA2	0.00024117863439707116
CTNNB1	0.0010907296440563939
CTNND1	0.0002332697095195798
CXCL12	0.0001427254029664715
CXCR4	0.00034311903247374116
DAG1	0.00016570932773677158
DCC	0.00012174301355809049
DIAPH1	9.521140683259404e-05
DIAPH2	0.00013559231505822197
DIAPH3	2.8421229305785488e-05
DLG4	0.0002899927837274737
DMD	0.00017922316322622686
DNMBP	2.6894999469755802e-05
DOCK1	0.00016269013940033462
DOCK10	1.4475596881927062e-05
DOCK11	1.875232397275211e-05
DOCK6	1.6381788540865987e-05
DOCK7	2.1282686786743253e-05
DOCK9	1.6381788540865987e-05
DSN1	0.0001281010141369411
DVL1	0.00035312736682920683
DYNC1H1	0.0004748118869330951
DYNC1I1	0.0003512552194738204
DYNC1I2	0.00045423547521839165
DYNC1LI1	0.00034960202948836663
DYNC1LI2	0.00034960202948836663
DYNLL1	0.00055811341571694
DYNLL2	0.00042495001588675166
EFNB1	0.00013536054576219017
EFNB2	0.00011382501082867081
EFNB3	0.00011096773908707976
EGF	0.00043018087523164324
EGFR	0.0007372170452158934
EIF2AK2	0.00013833086672042184
ENAH	4.0776441457866455e-05
EP300	0.0030991311947137774
EPGN	0.00015181824374054456
EPHB2	0.00015884022085244028
EPHB3	0.00010501449675310525
EPS8	0.00013596454826395052
ERCC6L	0.0001281010141369411
EREG	0.00021934664354850754
EXOC7	9.068221451333132e-05
F2RL2	0.00012867363868580308
FAM13B	1.6381788540865987e-05
FARP2	4.23198166928354e-05
FGD1	2.670615710775548e-05
FGD2	2.6573915159121903e-05
FGD3	2.5408546807302533e-05
FGD4	2.3803114546717654e-05
FMNL1	2.831963768427336e-05
FMNL2	2.080595742106356e-05
FMNL3	2.4068599297829455e-05
FNBP1	0.00018782670470194482
FNBP1L	0.00018002847555382775
FYN	0.0007927656802883435
GIT1	7.310518159175318e-05
GIT2	4.0644054085763035e-05
GNAI1	0.0008283692402839718
GNAI2	0.0008022744141836717
GNAI3	0.0008162494524338499
GNAO1	0.000402369792499604
GNAZ	0.00016809473544177498
GNB1	0.0023232727774470403
GNG2	0.0012856114188096513
GRAP2	0.00025003754961447594
GRB2	0.0008977611387718607
GRIK1	5.613774682448532e-05
GRIK2	6.473812337275585e-05
GRIK3	6.26910576710451e-05
GRIK4	5.5830349022665274e-05
GRIK5	6.0703201561054175e-05
GRIN1	0.00018508506335018543
GRIN2A	0.00015832042540389317
GRIN2B	0.000192253489065987
GRIN2C	0.00012303884778315166
GRIN2D	0.0001248749175678577
GRIN3A	6.962810624809003e-05
HAP1	0.00018650102165414896
HBEGF	0.0002435595984880746
HGF	0.00020599978939675982
HTT	0.0005422879339406866
INCENP	0.00017968196648751388
IQGAP1	0.00010554843846768737
IQGAP2	3.876331569843848e-05
IQGAP3	3.728082989091497e-05
ITGB1	0.0006017512328569994
ITGB3BP	0.00017708504369581913
ITSN1	0.0002112291257920576
